Te,d_nnC
2020-03-11,-0.00872198369684124
2020-03-12,-0.011405670988177
2020-03-13,-0.0147602801023467
2020-03-14,-0.0234822637991879
2020-03-15,-0.0355588566101989
2020-03-16,-0.0536737458267153
2020-03-17,-0.0771560096259033
2020-03-18,-0.111373022590434
2020-03-19,-0.163704924771482
2020-03-20,-0.245557387157223
2020-03-21,-0.32338431860596
2020-03-22,-0.399869406409029
2020-03-23,-0.483063712440438
2020-03-24,-0.432173782528934
2020-03-25,-0.34256314950474
2020-03-26,-0.21356089154502
2020-03-27,-0.0364450249529344
2020-03-28,0.170669561055001
2020-03-29,0.391680742730772
2020-03-30,0.626588520074378
2020-03-31,0.753385249953918
2020-04-01,0.868776308845282
2020-04-02,0.95598865117762
2020-04-03,1.04521375897846
2020-04-04,1.12102043032262
2020-04-05,1.18609235250144
2020-04-06,1.52757657105176
2020-04-07,2.12467450946575
2020-04-08,2.70141497698791
2020-04-09,3.27859655012612
2020-04-10,3.86024475981736
2020-04-11,4.41080074945144
2020-04-12,4.97789996844958
2020-04-13,5.38340715676861
2020-04-14,6.07989415894982
2020-04-15,6.78130743009766
2020-04-16,7.47624129922397
2020-04-17,8.16134115721456
2020-04-18,8.87283678250247
2020-04-19,9.835479491101
2020-04-20,10.5138516040657
2020-04-21,10.5892727501865
2020-04-22,10.6606683653703
2020-04-23,10.7387731987824
2020-04-24,10.8148652667261
2020-04-25,10.8816327376088
2020-04-26,10.6499158004252
2020-04-27,10.5843628925276
2020-04-28,10.5262584331399
2020-04-29,10.4561456894
2020-04-30,10.3726828176621
2020-05-01,10.1665095608043
2020-05-02,9.93940516477604
2020-05-03,9.69002778593164
2020-05-04,9.38348948948372
2020-05-05,8.83765668506091
2020-05-06,8.33881273376553
2020-05-07,7.93593492866447
2020-05-08,7.73972537052533
2020-05-09,7.56217311501776
2020-05-10,7.31270371605917
2020-05-11,7.12981246575283
2020-05-12,7.3545412978579
2020-05-13,7.43742022874553
2020-05-14,7.42876839512827
2020-05-15,7.87604301516646
2020-05-16,8.74397062884938
2020-05-17,9.9850159153797
2020-05-18,11.9246610981836
2020-05-19,13.5333565543548
2020-05-20,15.0984420920417
2020-05-21,17.0667366559797
2020-05-22,22.5469166409489
2020-05-23,33.1715752706873
2020-05-24,52.4989917006253
2020-05-25,70.8966256020116
2020-05-26,89.3478331206007
2020-05-27,108.066538189253
2020-05-28,126.218799971457
2020-05-29,140.320726494767
2020-05-30,149.134697231845
2020-05-31,148.734667739723
2020-06-01,148.024386968853
2020-06-02,146.997623860217
2020-06-03,145.414288529864
2020-06-04,143.68766882066
2020-06-05,142.01654286014
2020-06-06,140.378962990761
2020-06-07,138.825719013812
2020-06-08,137.476335142381
2020-06-09,135.621268979144
2020-06-10,134.93386970033
2020-06-11,134.663005250235
2020-06-12,134.698644449916
2020-06-13,135.443618295036
2020-06-14,137.761573450285
2020-06-15,139.82112357512
2020-06-16,142.832982173883
2020-06-17,144.964506201736
2020-06-18,147.46129709781
2020-06-19,150.551723699924
2020-06-20,153.107811134463
2020-06-21,154.439881746098
2020-06-22,156.165583210489
2020-06-23,154.552777684457
2020-06-24,152.236275294897
2020-06-25,148.802117277119
2020-06-26,145.623480345218
2020-06-27,142.719335578207
2020-06-28,139.737248761851
2020-06-29,136.073204987624
2020-06-30,135.351423813852
2020-07-01,134.80540916839
2020-07-02,134.423084458427
2020-07-03,135.110749948716
2020-07-04,135.708511914745
2020-07-05,136.39050964458
2020-07-06,137.269758390328
2020-07-07,138.522209948275
2020-07-08,138.794930376909
2020-07-09,139.031906680957
2020-07-10,138.300872901824
2020-07-11,139.788217247843
2020-07-12,140.665323120954
2020-07-13,141.942198271851
2020-07-14,141.979540258566
2020-07-15,143.012600380447
2020-07-16,144.919270865736
2020-07-17,147.460132752308
2020-07-18,147.977654506924
2020-07-19,149.384988877322
2020-07-20,150.686901783423
2020-07-21,152.593398792489
2020-07-22,155.147834404948
2020-07-23,158.537409199883
2020-07-24,162.037172061955
2020-07-25,165.549909476932
2020-07-26,169.500658713596
2020-07-27,172.154389157075
2020-07-28,174.012279409024
2020-07-29,174.973020274198
2020-07-30,175.453324354654
2020-07-31,178.861484703382
2020-08-01,183.713382076735
2020-08-02,187.923107137013
2020-08-03,194.227790685585
2020-08-04,201.515044340193
2020-08-05,209.974738976699
2020-08-06,220.152704573018
2020-08-07,229.127066397716
2020-08-08,239.812719556673
2020-08-09,251.106498294444
2020-08-10,262.313898395773
2020-08-11,274.941139352922
2020-08-12,288.540045388238
2020-08-13,302.807560095048
2020-08-14,318.942961328163
2020-08-15,334.37409490455
2020-08-16,353.074740845222
2020-08-17,370.961431705148
2020-08-18,387.649058358024
2020-08-19,403.305351259555
2020-08-20,425.054876413423
2020-08-21,445.591505018775
2020-08-22,463.954777411185
2020-08-23,479.211771699507
2020-08-24,494.323689985905
2020-08-25,509.359637218131
2020-08-26,524.149199253185
2020-08-27,531.822217966651
2020-08-28,537.762290579552
2020-08-29,548.665522666354
2020-08-30,559.053979941704
2020-08-31,570.805699497359
2020-09-01,583.563080001751
2020-09-02,596.479418114461
2020-09-03,609.63257664136
2020-09-04,624.584431607461
2020-09-05,635.569075470618
2020-09-06,647.388924369216
2020-09-07,656.645775858633
2020-09-08,663.667710710234
2020-09-09,668.732490558674
2020-09-10,675.587159723266
2020-09-11,682.241123134208
2020-09-12,688.024044751135
2020-09-13,692.815829567761
2020-09-14,699.286544582957
2020-09-15,707.315423868611
2020-09-16,717.42914105565
2020-09-17,724.518332472363
2020-09-18,733.070774406132
2020-09-19,745.520195897967
2020-09-20,767.724736154885
2020-09-21,793.674943013051
2020-09-22,821.886066478535
2020-09-23,853.261838246694
2020-09-24,884.714951292454
2020-09-25,912.03404911944
2020-09-26,934.710017182018
2020-09-27,949.7600269915
2020-09-28,964.543480580069
2020-09-29,980.371359189543
2020-09-30,996.118526923029
2020-10-01,1010.51594504541
2020-10-02,1023.331474606
2020-10-03,1037.2407770165
2020-10-04,1048.23816839429
2020-10-05,1055.27320201009
2020-10-06,1057.6729432756
2020-10-07,1055.4165936143
2020-10-08,1053.7238959289
2020-10-09,1052.83638207561
2020-10-10,1051.43957590335
2020-10-11,1051.12879939965
2020-10-12,1050.53556480854
2020-10-13,1049.95440681023
2020-10-14,1049.698645896
2020-10-15,1048.71831189702
2020-10-16,1047.211512019
2020-10-17,1044.59722796336
2020-10-18,1040.14526343313
2020-10-19,1035.25689461548
2020-10-20,1030.75668443069
2020-10-21,1026.47354781392
2020-10-22,1021.77975895582
2020-10-23,1017.18229744361
2020-10-24,1012.92373659128
2020-10-25,1009.07851166758
2020-10-26,1005.50788535285
2020-10-27,1000.56273180657
2020-10-28,996.271918620985
2020-10-29,992.723493443087
2020-10-30,988.478381005761
2020-10-31,983.969626270604
2020-11-01,980.347059134787
2020-11-02,976.58334139936
2020-11-03,974.200794680331
2020-11-04,970.664005409213
2020-11-05,966.413455447224
2020-11-06,962.792400433756
2020-11-07,958.541920621847
2020-11-08,953.478383689286
2020-11-09,948.575454089198
2020-11-10,942.967642670127
2020-11-11,937.490247101502
2020-11-12,932.470690623377
2020-11-13,928.053421684909
2020-11-14,923.325515942469
2020-11-15,919.559011193605
2020-11-16,916.946318503791
2020-11-17,915.476332587912
2020-11-18,913.847495088212
2020-11-19,911.878129688385
2020-11-20,909.732211720527
2020-11-21,908.180530230454
2020-11-22,907.478946861446
2020-11-23,905.968432031348
2020-11-24,904.557784424229
2020-11-25,903.724385002801
2020-11-26,903.460853627015
2020-11-27,903.649223173948
2020-11-28,904.15326653502
2020-11-29,903.108281514335
2020-11-30,901.801907390073
2020-12-01,899.148908028032
2020-12-02,894.877845486563
2020-12-03,889.868583672001
2020-12-04,883.787318891718
2020-12-05,878.179724918356
2020-12-06,872.701718985426
2020-12-07,867.933818748381
2020-12-08,865.784321332327
2020-12-09,864.996665109458
2020-12-10,865.037181834022
2020-12-11,867.744152332767
2020-12-12,869.981077041032
2020-12-13,874.085788146978
2020-12-14,878.154439753195
2020-12-15,878.826033698709
2020-12-16,878.420057046672
2020-12-17,877.096189190919
2020-12-18,873.98645754995
2020-12-19,869.521023140825
2020-12-20,863.68221176036
2020-12-21,858.40513222431
2020-12-22,856.89750193918
2020-12-23,856.887769677111
2020-12-24,857.790891608591
2020-12-25,861.153653114116
2020-12-26,865.353494818746
2020-12-27,867.965024139944
2020-12-28,868.30121713113
2020-12-29,870.196302074165
2020-12-30,875.767833552802
2020-12-31,885.117791684111
2021-01-01,891.968726111077
2021-01-02,899.853721345732
2021-01-03,904.871827459883
2021-01-04,909.936026922561
2021-01-05,909.838514223315
2021-01-06,903.901828599786
2021-01-07,894.533608088254
2021-01-08,887.970121396486
2021-01-09,878.777592466903
2021-01-10,872.376008384677
2021-01-11,866.527604441872
2021-01-12,860.25823213028
2021-01-13,852.695753037304
2021-01-14,841.413072393801
2021-01-15,830.426168145545
2021-01-16,822.581331093779
2021-01-17,813.355025837262
2021-01-18,803.42800779038
2021-01-19,792.727046345819
2021-01-20,781.935780862502
2021-01-21,773.525216413929
2021-01-22,763.905009897328
2021-01-23,751.346826525548
2021-01-24,739.816735815133
2021-01-25,727.261035873396
2021-01-26,716.735460228203
2021-01-27,707.479824475739
2021-01-28,699.208971852027
2021-01-29,689.879835084923
2021-01-30,682.287014016768
2021-01-31,675.573601179645
2021-02-01,671.349588905555
2021-02-02,668.794314494284
2021-02-03,668.716268720892
2021-02-04,666.635050641764
2021-02-05,666.314371597289
2021-02-06,668.465408719668
2021-02-07,672.329843747703
2021-02-08,677.592333231669
2021-02-09,684.079619255563
2021-02-10,692.461251820027
2021-02-11,705.802672733591
2021-02-12,719.668577911214
2021-02-13,734.236761635942
2021-02-14,749.681840183117
2021-02-15,765.768990914743
2021-02-16,782.23521247627
2021-02-17,795.848674447107
2021-02-18,808.101142747982
2021-02-19,834.620620641823
2021-02-20,858.043244842053
2021-02-21,879.576674629775
2021-02-22,904.921708151775
2021-02-23,935.257155050769
2021-02-24,969.072920196281
2021-02-25,1004.65247885694
2021-02-26,1023.59570890502
2021-02-27,1048.81257902571
2021-02-28,1078.77338746293
2021-03-01,1109.8121670122
2021-03-02,1133.51930774207
2021-03-03,1154.49986715177
2021-03-04,1174.22818605418
2021-03-05,1197.24157862998
2021-03-06,1215.10138505208
2021-03-07,1224.21810341826
2021-03-08,1227.64853869268
2021-03-09,1227.14245019303
2021-03-10,1222.2416582714
2021-03-11,1210.19572880785
2021-03-12,1190.94159515103
2021-03-13,1166.51638640532
2021-03-14,1138.92488712742
2021-03-15,1103.11638764203
2021-03-16,1064.46391050675
2021-03-17,1024.15492739088
